,dataset,kernel,layers,latent_dim,lr,batch_size,n_inducing,n_epochs,auc_roc,auc_pr
116,25_musk,rbf,"10,10",10,0.01,128,50,1000,1.0,0.9999999999999991
117,25_musk,rbf,"10,10",15,0.01,128,10,1000,1.0,0.9999999999999991
118,25_musk,rbf,"10,10",15,0.01,128,25,1000,1.0,0.9999999999999991
119,25_musk,rbf,"10,10",15,0.01,128,100,1000,1.0,0.9999999999999991
120,26_optdigits,rbf,"10,10",2,0.01,128,50,1000,0.9319152046783621,0.173116797249266
121,26_optdigits,rbf,"10,10",5,0.01,128,50,1000,0.8677339181286551,0.10054123146120601
122,26_optdigits,rbf,"10,10",10,0.01,128,50,1000,0.7797660818713451,0.061883458900273004
123,26_optdigits,rbf,"10,10",15,0.01,128,10,1000,0.528611111111111,0.028113375741759
124,26_optdigits,rbf,"10,10",15,0.01,128,25,1000,0.516637426900584,0.027462437149143003
125,26_optdigits,rbf,"10,10",15,0.01,128,100,1000,0.5389473684210521,0.028719948549378004
126,27_PageBlocks,rbf,"15,15",5,0.01,128,10,1000,0.9285596377345021,0.6731038391776061
127,27_PageBlocks,rbf,"15,15",5,0.01,128,25,1000,0.93071449285061,0.68547250114253
128,27_PageBlocks,rbf,"15,15",5,0.01,128,100,1000,0.942385509380088,0.7130637946153601
129,28_pendigits,rbf,"10,10",8,0.01,128,10,1000,0.892550022185129,0.13402395118075802
130,28_pendigits,rbf,"10,10",8,0.01,128,25,1000,0.9296520103953171,0.170532922554672
131,28_pendigits,rbf,"10,10",8,0.01,128,100,1000,0.9696908871938981,0.32128113718155404
132,29_Pima,rbf,"15,15",4,0.01,128,10,1000,0.6980775749358381,0.537278772544314
133,29_Pima,rbf,"15,15",4,0.01,128,25,1000,0.703791583942666,0.541631498674337
134,29_Pima,rbf,"15,15",4,0.01,128,100,1000,0.711442545155198,0.549206657798047
135,30_satellite,rbf,"10,10",2,0.01,128,50,1000,0.8145216485642011,0.765176410289908
136,30_satellite,rbf,"10,10",5,0.01,128,50,1000,0.803441948122799,0.7871939300594191
137,30_satellite,rbf,"10,10",10,0.01,128,50,1000,0.8059998512126171,0.795013208411885
138,30_satellite,rbf,"10,10",15,0.01,128,10,1000,0.0,0.0
139,30_satellite,rbf,"10,10",15,0.01,128,25,1000,0.801285770966622,0.7803973829162351
140,30_satellite,rbf,"10,10",15,0.01,128,100,1000,0.801971432822496,0.78582623619377
141,31_satimage-2,rbf,"15,15",2,0.01,128,50,1000,0.9992801771871531,0.9736575481256331
142,31_satimage-2,rbf,"15,15",5,0.01,128,50,1000,0.9987818383167221,0.954689754689754
143,31_satimage-2,rbf,"15,15",10,0.01,128,50,1000,0.998892580287929,0.9532292032292031
144,31_satimage-2,rbf,"15,15",15,0.01,128,10,1000,0.9863510520487261,0.845437278770612
145,31_satimage-2,rbf,"15,15",15,0.01,128,25,1000,0.9863510520487261,0.8453662959410081
146,31_satimage-2,rbf,"15,15",15,0.01,128,100,1000,0.9862403100775191,0.8452004399156121
147,32_shuttle,rbf,"5,5",4,0.01,128,10,1000,0.99830337095117,0.9602424271339871
148,32_shuttle,rbf,"5,5",4,0.01,128,25,1000,0.9946365680548521,0.9520290347582271
149,32_shuttle,rbf,"5,5",4,0.01,128,100,1000,0.9953481101799371,0.9501785991562791
150,33_skin,rbf,"10,10",1,0.01,128,10,1000,0.891106414895786,0.510430194124545
151,33_skin,rbf,"10,10",1,0.01,128,25,1000,0.884535994807441,0.49865803785133306
152,33_skin,rbf,"10,10",1,0.01,128,100,1000,0.8675372750096161,0.46814757199106805
153,34_smtp,rbf,"10,10,10",1,0.01,128,10,1000,0.43481160386795603,0.000589622641509
154,34_smtp,rbf,"10,10,10",1,0.01,128,25,1000,0.45848616205401804,0.000615384615384
155,34_smtp,rbf,"10,10,10",1,0.01,128,100,1000,0.588196065355118,0.0008090614886730001
156,35_SpamBase,rbf,"10,10",2,0.01,128,50,1000,0.6477325009933701,0.5028199989395581
157,35_SpamBase,rbf,"10,10",5,0.01,128,50,1000,0.6255097559445381,0.478881990421314
158,35_SpamBase,rbf,"10,10",10,0.01,128,50,1000,0.610760817282556,0.458056288164612
159,35_SpamBase,rbf,"10,10",15,0.01,128,10,1000,0.608389798607189,0.45425431330063304
160,35_SpamBase,rbf,"10,10",15,0.01,128,25,1000,0.0,0.0
161,35_SpamBase,rbf,"10,10",15,0.01,128,100,1000,0.604282995587343,0.449741725504233
162,36_speech,rbf,"10,10",2,0.01,128,50,1000,0.462571486928104,0.016722323406875
163,36_speech,rbf,"10,10",5,0.01,128,50,1000,0.47155841503267903,0.017778583970491
164,36_speech,rbf,"10,10",10,0.01,128,50,1000,0.46890318627450905,0.017661231699799003
165,36_speech,rbf,"10,10",15,0.01,128,10,1000,0.47017973856209105,0.017519655395012
166,36_speech,rbf,"10,10",15,0.01,128,25,1000,0.46920955882352905,0.017340072944821
167,36_speech,rbf,"10,10",15,0.01,128,100,1000,0.47048611111111105,0.017373976116782
168,37_Stamps,rbf,"15,15",4,0.01,128,10,1000,0.9291636363636361,0.506311436458828
169,37_Stamps,rbf,"15,15",4,0.01,128,25,1000,0.9563636363636361,0.625291434590407
170,37_Stamps,rbf,"15,15",4,0.01,128,100,1000,0.9649454545454541,0.6892154009790481
171,38_thyroid,rbf,"10,10,10",3,0.01,128,10,1000,0.9673266045548651,0.619246766991932
172,38_thyroid,rbf,"10,10,10",3,0.01,128,25,1000,0.96490036231884,0.6195605660916991
173,38_thyroid,rbf,"10,10,10",3,0.01,128,100,1000,0.9672295548654241,0.607337834717487
174,39_vertebral,rbf,"10,10",3,0.01,128,10,1000,0.40125000000000005,0.108906590266706
175,39_vertebral,rbf,"10,10",3,0.01,128,25,1000,0.454134615384615,0.12293599095928301
176,39_vertebral,rbf,"10,10",3,0.01,128,100,1000,0.46807692307692306,0.120898997393189
177,40_vowels,rbf,"10,10",6,0.01,128,10,1000,0.9058451816745651,0.5174562140416851
178,40_vowels,rbf,"10,10",6,0.01,128,25,1000,0.9104265402843601,0.518509614088301
179,40_vowels,rbf,"10,10",6,0.01,128,100,1000,0.9532385466034751,0.6751135623557101
180,41_Waveform,rbf,"5,5",2,0.01,128,50,1000,0.7800265869059481,0.22909988633365602
181,41_Waveform,rbf,"5,5",5,0.01,128,50,1000,0.769292123629112,0.26420261041660803
182,41_Waveform,rbf,"5,5",10,0.01,128,10,1000,0.596311066799601,0.036524720860670004
183,41_Waveform,rbf,"5,5",10,0.01,128,25,1000,0.7731306081754731,0.27482139805787104
184,41_Waveform,rbf,"5,5",10,0.01,128,50,1000,0.7683283482884671,0.27094240073693104
185,41_Waveform,rbf,"5,5",10,0.01,128,100,1000,0.8293785310734461,0.278648377873764
186,42_WBC,rbf,"10,10",4,0.01,128,10,1000,0.9882069150361831,0.8685396747586571
187,42_WBC,rbf,"10,10",4,0.01,128,25,1000,0.994103457518091,0.9152731326644361
188,42_WBC,rbf,"10,10",4,0.01,128,100,1000,0.9946395068346281,0.921731586491311
189,43_WDBC,rbf,"5,5",2,0.01,128,50,1000,0.9979310344827581,0.9263455988455981
190,43_WDBC,rbf,"5,5",5,0.01,128,50,1000,0.996551724137931,0.924786324786324
191,43_WDBC,rbf,"5,5",10,0.01,128,50,1000,0.9972413793103441,0.9416666666666661
192,43_WDBC,rbf,"5,5",15,0.01,128,10,1000,0.9962068965517241,0.9081593406593401
193,43_WDBC,rbf,"5,5",15,0.01,128,25,1000,0.984827586206896,0.63979141257779
194,43_WDBC,rbf,"5,5",15,0.01,128,100,1000,0.99,0.772394957983193
195,44_Wilt,rbf,"15,15",2,0.01,128,10,1000,0.30116778765427404,0.035150550401537
196,44_Wilt,rbf,"15,15",2,0.01,128,25,1000,0.31193496058360903,0.035683045573203
197,44_Wilt,rbf,"15,15",2,0.01,128,100,1000,0.319059319059319,0.036121906294686
198,45_wine,rbf,"10,10",6,0.01,128,10,1000,0.9808272946859901,0.838252944663282
199,45_wine,rbf,"10,10",6,0.01,128,25,1000,0.9935084541062801,0.9134279885480071
200,45_wine,rbf,"10,10",6,0.01,128,100,1000,0.9951690821256031,0.9630717013338961
201,46_WPBC,rbf,"10,10",2,0.01,128,50,1000,0.825481481481481,0.6198440344185571
202,46_WPBC,rbf,"10,10",5,0.01,128,50,1000,0.799703703703703,0.5987894308034271
203,46_WPBC,rbf,"10,10",10,0.01,128,50,1000,0.6314074074074071,0.362627008263727
204,46_WPBC,rbf,"10,10",15,0.01,128,10,1000,0.5477333333333331,0.30445731678201704
205,46_WPBC,rbf,"10,10",15,0.01,128,25,1000,0.550992592592592,0.28677594910658
206,46_WPBC,rbf,"10,10",15,0.01,128,100,1000,0.6261925925925921,0.35194905373809304
207,47_yeast,rbf,"10,10",4,0.01,128,10,1000,0.45193340494092304,0.32004812780381203
208,47_yeast,rbf,"10,10",4,0.01,128,25,1000,0.43611260293591103,0.32397656109399803
209,47_yeast,rbf,"10,10",4,0.01,128,100,1000,0.46415145005370506,0.34775102506169203
